NURE
	Nuveen Short-Term REIT ETF	30.76	+0.83	+2.77%	14,646	29.94	29.18	
SLX
	VanEck Steel ETF	73.67	+1.60	+2.22%	8.673k	70.40	67.76	
BLOK
	Amplify Transformational Data Sharing ETF	34.65	+0.67	+1.96%	146,371	32.39	25.83	
REZ
	iShares Residential and Multisector Real Estate ETF	71.86	+1.35	+1.92%	19,160	70.00	69.82	
FBZ
	First Trust Brazil AlphaDEX Fund	12.18	+0.22	+1.80%	669	11.95	11.16	
PICK
	iShares MSCI Global Metals & Mining Producers ETF	43.39	+0.77	+1.81%	263,439	40.38	40.31	
LIT
	Global X Lithium & Battery Tech ETF	45.74	+0.77	+1.72%	212.130k	43.97	52.13	
BLCN
	Siren Nasdaq NexGen Economy ETF	27.25	+0.50	+1.88%	15,440	25.89	22.39	
EWD
	iShares MSCI Sweden ETF	40.57	+0.58	+1.45%	78,068	39.23	35.93	
IAI
	iShares U.S. Broker-Dealers & Securities Exchanges ETF	115.80	+1.55	+1.36%	890,976	110.31	99.50	
FLLA
	Franklin FTSE Latin America ETF	23.78	+0.32	+1.35%	3,136	23.50	22.96	
SPHB
	Invesco S&P 500 High Beta ETF	86.23	+1.09	+1.28%	575.314k	83.99	76.81	
XSD
	SPDR S&P Semiconductor ETF	231.25	+2.86	+1.25%	21,103	223.33	210.08	
KCE
	SPDR S&P Capital Markets ETF	110.90	+1.35	+1.23%	5.137k	105.35	93.87	
VIOV
	Vanguard S&P Small-Cap 600 Value Index Fund ETF Shares	86.23	+1.00	+1.17%	35,806	85.39	82.06	
SLYV
	SPDR S&P 600 Small Cap Value ETF	80.91	+0.91	+1.14%	72.152k	80.25	77.13	
IJS
	iShares S&P Small-Cap 600 Value ETF	100.25	+1.11	+1.11%	80,925	99.36	95.20	
RWJ
	Invesco S&P SmallCap 600 Revenue ETF	41.83	+0.46	+1.10%	37,178	41.08	38.70	
RZV
	Invesco S&P SmallCap 600 Pure Value ETF	104.23	+1.12	+1.09%	7,013	103.30	96.93	
XLY
