Tickers,Mean_Variance_Scaled,Regressor_Slope
PZT,-0.2331957841827847,0.0027672094176663
PSCC,-0.1006410202400331,0.0059133145767057
RNSC,-0.1007043775157607,0.010139165290301
PSCT,-0.1735911682568051,0.0120772811404262
BLCN,-0.169876001577235,0.012500549622563
